Date,Quantity Sold (kg),Unit Price (NGN),Total Sales Value (NGN),Opening Stock (kg),Closing Stock (kg),Restocked Quantity (kg),Supplier Name,Supplier Cost (NGN),Transport Cost (NGN),Store Location,Season
1/29/2009,212,144,30467,109,-95,204,Ogun Growers,112,6665,"Abuja, Wuse",Dry Season
1/30/2009,247,121,29836,265,116,149,Local Farmer,85,4399,"Abuja, Wuse",Dry Season
1/31/2009,223,120,26814,265,140,125,Local Farmer,103,8028,"Abuja, Wuse",Dry Season
2/1/2009,223,161,36004,143,-14,157,Jigawa Farm,141,9511,Port Harcourt,Dry Season
2/2/2009,256,150,38494,276,64,212,Kaduna Suppliers,111,3463,"Kano, Sabon Gari",Dry Season
2/3/2009,214,174,37333,208,62,146,Local Farmer,155,3120,"Kano, Sabon Gari",Dry Season
2/4/2009,110,179,19687,188,137,51,Local Farmer,136,4914,"Lagos, Yaba",Dry Season
2/5/2009,179,147,26382,168,32,136,Jigawa Farm,120,8464,"Abuja, Wuse",Dry Season
2/6/2009,108,137,14813,108,60,48,Ogun Growers,121,5104,"Abuja, Wuse",Dry Season
2/7/2009,117,160,18665,249,198,51,Local Farmer,118,6761,"Lagos, Yaba",Dry Season
2/8/2009,190,172,32594,120,-52,172,Local Farmer,135,6547,Ibadan,Dry Season
2/9/2009,158,136,21434,264,146,118,Ogun Growers,101,3066,Ibadan,Dry Season
2/10/2009,174,168,29148,263,131,132,Local Farmer,119,4085,"Abuja, Wuse",Dry Season
2/11/2009,299,146,43513,226,-69,295,Local Farmer,115,8754,"Kano, Sabon Gari",Dry Season
2/12/2009,293,124,36313,126,-134,260,Local Farmer,89,5891,"Kano, Sabon Gari",Dry Season
2/13/2009,252,154,38749,268,59,209,Kaduna Suppliers,132,3591,Port Harcourt,Dry Season
2/14/2009,296,171,50584,252,30,222,Jigawa Farm,123,6566,Ibadan,Dry Season
2/15/2009,205,140,28744,227,91,136,Local Farmer,108,3734,Ibadan,Dry Season
2/16/2009,264,144,38028,147,-87,234,Local Farmer,128,9929,"Abuja, Wuse",Dry Season
2/17/2009,133,158,20985,274,177,97,Local Farmer,132,8122,"Lagos, Yaba",Dry Season
2/18/2009,167,144,23971,286,143,143,Kaduna Suppliers,110,9294,Port Harcourt,Dry Season
2/19/2009,146,169,24712,138,34,104,Local Farmer,136,9081,"Kano, Sabon Gari",Dry Season
2/20/2009,200,172,34489,180,56,124,Kaduna Suppliers,136,5379,Port Harcourt,Dry Season
2/21/2009,110,170,18668,187,96,91,Kaduna Suppliers,129,5231,"Lagos, Yaba",Dry Season
2/22/2009,137,132,18124,168,33,135,Ogun Growers,94,9087,"Kano, Sabon Gari",Dry Season
2/23/2009,228,164,37316,299,89,210,Kaduna Suppliers,146,4488,"Abuja, Wuse",Dry Season
2/24/2009,179,176,31503,111,19,92,Jigawa Farm,132,7735,"Abuja, Wuse",Dry Season
2/25/2009,140,148,20681,128,-8,136,Local Farmer,116,9745,Port Harcourt,Dry Season
2/26/2009,170,135,23029,288,168,120,Jigawa Farm,105,7779,Ibadan,Dry Season
2/27/2009,179,156,27861,185,78,107,Jigawa Farm,125,4487,Ibadan,Dry Season
2/28/2009,188,166,31134,284,178,106,Jigawa Farm,121,7763,"Abuja, Wuse",Dry Season
3/1/2009,148,173,25540,123,20,103,Kaduna Suppliers,131,4416,Ibadan,Dry Season
3/2/2009,282,169,47750,184,-33,217,Jigawa Farm,121,7940,Port Harcourt,Dry Season
3/3/2009,229,167,38261,246,37,209,Ogun Growers,131,5055,Port Harcourt,Dry Season
3/4/2009,239,163,38944,118,-46,164,Ogun Growers,126,8655,"Kano, Sabon Gari",Dry Season
3/5/2009,116,166,19297,297,241,56,Kaduna Suppliers,127,8213,"Lagos, Yaba",Dry Season
3/6/2009,290,125,36378,229,9,220,Ogun Growers,94,8924,Port Harcourt,Dry Season
3/7/2009,206,161,33121,249,112,137,Kaduna Suppliers,130,8578,"Abuja, Wuse",Dry Season
3/8/2009,174,162,28125,272,123,149,Local Farmer,131,8974,Ibadan,Dry Season
3/9/2009,271,153,41461,171,-16,187,Ogun Growers,127,8968,Port Harcourt,Dry Season
3/10/2009,201,137,27620,133,-34,167,Ogun Growers,119,3828,"Abuja, Wuse",Dry Season
3/11/2009,166,125,20734,227,115,112,Ogun Growers,109,5173,Ibadan,Dry Season
3/12/2009,142,150,21323,297,171,126,Local Farmer,107,4242,Port Harcourt,Dry Season
3/13/2009,283,154,43602,252,59,193,Kaduna Suppliers,135,3120,"Kano, Sabon Gari",Dry Season
3/14/2009,283,143,40360,240,-39,279,Ogun Growers,128,8051,Ibadan,Dry Season
3/15/2009,244,157,38241,241,74,167,Ogun Growers,111,9721,"Abuja, Wuse",Dry Season
3/16/2009,290,124,36005,189,-10,199,Local Farmer,112,6513,"Kano, Sabon Gari",Dry Season
3/17/2009,248,132,32720,178,-53,231,Jigawa Farm,102,7686,Port Harcourt,Dry Season
3/18/2009,182,148,26940,183,12,171,Local Farmer,129,5790,"Lagos, Yaba",Dry Season
3/19/2009,144,135,19443,172,87,85,Local Farmer,112,5724,"Abuja, Wuse",Dry Season
3/20/2009,170,128,21739,123,42,81,Kaduna Suppliers,99,9065,"Kano, Sabon Gari",Dry Season
3/21/2009,112,129,14417,226,151,75,Ogun Growers,95,8811,"Abuja, Wuse",Dry Season
3/22/2009,298,176,52517,174,-113,287,Local Farmer,156,6941,"Kano, Sabon Gari",Dry Season
3/23/2009,226,122,27584,206,38,168,Jigawa Farm,103,5302,"Lagos, Yaba",Dry Season
3/24/2009,165,167,27507,148,33,115,Jigawa Farm,128,3535,"Kano, Sabon Gari",Dry Season
3/25/2009,116,171,19893,175,79,96,Kaduna Suppliers,139,7621,Ibadan,Dry Season
3/26/2009,154,154,23762,253,140,113,Ogun Growers,120,7194,"Lagos, Yaba",Dry Season
3/27/2009,272,168,45586,168,-19,187,Ogun Growers,122,5979,"Abuja, Wuse",Dry Season
3/28/2009,182,166,30195,152,31,121,Jigawa Farm,117,7511,"Kano, Sabon Gari",Dry Season
3/29/2009,217,156,33865,238,73,165,Kaduna Suppliers,117,9348,"Kano, Sabon Gari",Dry Season
3/30/2009,280,158,44339,149,-38,187,Kaduna Suppliers,121,6103,"Kano, Sabon Gari",Dry Season
3/31/2009,181,141,25511,270,131,139,Local Farmer,123,8679,Ibadan,Dry Season
4/1/2009,163,132,21519,296,173,123,Kaduna Suppliers,100,9745,"Abuja, Wuse",Dry Season
4/2/2009,246,133,32811,179,27,152,Local Farmer,96,6107,"Lagos, Yaba",Dry Season
4/3/2009,115,170,19592,297,186,111,Jigawa Farm,153,7179,Ibadan,Dry Season
4/4/2009,111,127,14043,288,273,15,Local Farmer,92,7553,"Lagos, Yaba",Dry Season
4/5/2009,245,125,30661,138,-30,168,Ogun Growers,109,5933,"Abuja, Wuse",Dry Season
4/6/2009,199,145,28894,255,59,196,Ogun Growers,107,3645,"Kano, Sabon Gari",Dry Season
4/7/2009,260,145,37647,194,-51,245,Jigawa Farm,106,9349,Port Harcourt,Dry Season
4/8/2009,176,143,25233,134,-5,139,Kaduna Suppliers,106,7950,Port Harcourt,Dry Season
4/9/2009,274,124,33994,170,-53,223,Kaduna Suppliers,109,5191,Port Harcourt,Dry Season
4/10/2009,117,156,18228,150,56,94,Local Farmer,126,3408,"Lagos, Yaba",Dry Season
4/11/2009,292,139,40731,167,-125,292,Local Farmer,123,4118,"Kano, Sabon Gari",Dry Season
4/12/2009,249,142,35288,107,-89,196,Jigawa Farm,118,6207,Ibadan,Dry Season
4/13/2009,196,139,27310,142,24,118,Ogun Growers,119,5605,"Abuja, Wuse",Dry Season
4/14/2009,239,151,36064,296,59,237,Ogun Growers,108,5661,"Kano, Sabon Gari",Dry Season
4/15/2009,295,175,51509,280,-2,282,Jigawa Farm,126,4861,Ibadan,Dry Season
4/16/2009,123,133,16403,200,80,120,Kaduna Suppliers,98,9909,"Abuja, Wuse",Dry Season
4/17/2009,240,155,37160,108,-85,193,Jigawa Farm,134,5630,"Kano, Sabon Gari",Dry Season
4/18/2009,137,179,24464,249,123,126,Kaduna Suppliers,154,3495,"Abuja, Wuse",Dry Season
4/19/2009,257,175,44914,174,-44,218,Ogun Growers,141,6511,Port Harcourt,Dry Season
4/20/2009,113,144,16257,100,74,26,Kaduna Suppliers,127,9227,"Abuja, Wuse",Dry Season
4/21/2009,245,169,41416,262,110,152,Jigawa Farm,129,6784,Port Harcourt,Dry Season
4/22/2009,112,144,16152,116,78,38,Jigawa Farm,103,3019,Ibadan,Dry Season
4/23/2009,203,151,30595,257,94,163,Kaduna Suppliers,117,9621,"Kano, Sabon Gari",Dry Season
4/24/2009,175,169,29575,284,196,88,Ogun Growers,140,5766,"Abuja, Wuse",Dry Season
4/25/2009,209,140,29307,272,106,166,Jigawa Farm,105,3616,"Kano, Sabon Gari",Dry Season
4/26/2009,172,132,22739,210,75,135,Local Farmer,116,9072,Ibadan,Dry Season
4/27/2009,111,123,13600,273,185,88,Kaduna Suppliers,99,5569,"Lagos, Yaba",Dry Season
4/28/2009,160,179,28596,195,92,103,Local Farmer,148,9168,"Kano, Sabon Gari",Dry Season
4/29/2009,177,127,22480,204,76,128,Kaduna Suppliers,93,8307,"Kano, Sabon Gari",Dry Season
4/30/2009,185,161,29838,264,80,184,Jigawa Farm,134,4205,"Abuja, Wuse",Dry Season
5/1/2009,233,136,31628,121,-89,210,Kaduna Suppliers,96,9302,Port Harcourt,Dry Season
5/2/2009,162,124,20082,215,96,119,Ogun Growers,89,3832,Port Harcourt,Dry Season
5/3/2009,121,145,17568,209,126,83,Local Farmer,114,5821,Port Harcourt,Dry Season
5/4/2009,264,177,46660,103,-141,244,Jigawa Farm,137,4193,"Lagos, Yaba",Dry Season
5/5/2009,236,126,29779,287,94,193,Local Farmer,109,6339,Port Harcourt,Dry Season
5/6/2009,132,155,20399,248,211,37,Ogun Growers,122,3298,"Abuja, Wuse",Dry Season
5/7/2009,270,172,46394,252,-7,259,Kaduna Suppliers,153,4007,"Abuja, Wuse",Dry Season
5/8/2009,104,176,18282,149,71,78,Kaduna Suppliers,123,9170,"Abuja, Wuse",Dry Season
5/9/2009,149,170,25385,188,86,102,Ogun Growers,150,6618,Ibadan,Dry Season
5/10/2009,148,168,24794,203,111,92,Ogun Growers,127,3174,Port Harcourt,Dry Season
5/11/2009,235,172,40465,139,-19,158,Jigawa Farm,141,5718,"Kano, Sabon Gari",Dry Season
5/12/2009,237,180,42587,252,88,164,Kaduna Suppliers,141,7222,"Abuja, Wuse",Dry Season
5/13/2009,262,132,34584,223,-18,241,Local Farmer,100,4305,"Kano, Sabon Gari",Dry Season
5/14/2009,120,130,15555,227,163,64,Kaduna Suppliers,112,6854,"Abuja, Wuse",Dry Season
5/15/2009,205,156,32007,125,13,112,Local Farmer,140,9149,"Lagos, Yaba",Dry Season
5/16/2009,138,174,24012,218,171,47,Jigawa Farm,147,4177,"Abuja, Wuse",Dry Season
5/17/2009,251,164,41227,284,116,168,Local Farmer,134,5207,"Abuja, Wuse",Dry Season
5/18/2009,153,138,21156,117,-17,134,Jigawa Farm,102,8358,"Lagos, Yaba",Dry Season
5/19/2009,269,134,35990,298,45,253,Kaduna Suppliers,110,3581,"Abuja, Wuse",Dry Season
5/20/2009,246,126,30949,227,28,199,Ogun Growers,103,3086,"Lagos, Yaba",Dry Season
5/21/2009,165,145,23990,123,-17,140,Local Farmer,120,8126,"Kano, Sabon Gari",Dry Season
5/22/2009,152,161,24451,281,161,120,Jigawa Farm,140,9804,Ibadan,Dry Season
5/23/2009,281,143,40182,263,19,244,Kaduna Suppliers,102,3347,"Lagos, Yaba",Dry Season
5/24/2009,128,128,16435,106,5,101,Jigawa Farm,115,7991,"Lagos, Yaba",Dry Season
5/25/2009,151,172,25908,107,-14,121,Ogun Growers,137,6829,Ibadan,Dry Season
5/26/2009,204,174,35499,196,78,118,Jigawa Farm,134,3158,"Kano, Sabon Gari",Dry Season
5/27/2009,122,178,21776,164,80,84,Ogun Growers,139,6491,"Lagos, Yaba",Dry Season
5/28/2009,128,175,22440,190,121,69,Local Farmer,132,7749,"Abuja, Wuse",Dry Season
5/29/2009,267,177,47326,127,-65,192,Jigawa Farm,158,6459,"Kano, Sabon Gari",Dry Season
5/30/2009,174,132,23051,160,4,156,Ogun Growers,105,8659,"Lagos, Yaba",Dry Season
5/31/2009,115,157,18039,166,131,35,Local Farmer,117,9200,"Abuja, Wuse",Dry Season
6/1/2009,75,201,15101,285,229,56,Local Farmer,163,5128,"Lagos, Yaba",Rainy Season
6/2/2009,117,213,24975,258,208,50,Jigawa Farm,190,7434,"Lagos, Yaba",Rainy Season
6/3/2009,77,182,14035,217,191,26,Local Farmer,145,4861,"Lagos, Yaba",Rainy Season
6/4/2009,152,198,30053,149,-2,151,Kaduna Suppliers,167,9468,"Lagos, Yaba",Rainy Season
6/5/2009,137,200,27417,228,167,61,Ogun Growers,143,4332,"Kano, Sabon Gari",Rainy Season
6/6/2009,113,191,21572,154,103,51,Local Farmer,158,8766,"Lagos, Yaba",Rainy Season
6/7/2009,56,186,10432,282,268,14,Kaduna Suppliers,150,3459,"Abuja, Wuse",Rainy Season
6/8/2009,192,184,35391,155,-8,163,Jigawa Farm,149,8128,"Lagos, Yaba",Rainy Season
6/9/2009,100,214,21377,261,222,39,Local Farmer,153,7545,"Abuja, Wuse",Rainy Season
6/10/2009,124,212,26251,102,-18,120,Jigawa Farm,177,6763,"Kano, Sabon Gari",Rainy Season
6/11/2009,162,212,34319,158,65,93,Kaduna Suppliers,166,9576,"Lagos, Yaba",Rainy Season
6/12/2009,70,225,15728,196,184,12,Kaduna Suppliers,183,5578,Port Harcourt,Rainy Season
6/13/2009,162,199,32215,157,76,81,Jigawa Farm,173,3888,"Kano, Sabon Gari",Rainy Season
6/14/2009,120,182,21788,258,218,40,Local Farmer,146,5680,Port Harcourt,Rainy Season
6/15/2009,81,220,17851,228,156,72,Jigawa Farm,183,9034,"Lagos, Yaba",Rainy Season
6/16/2009,89,190,16937,256,199,57,Jigawa Farm,143,3502,"Abuja, Wuse",Rainy Season
6/17/2009,120,181,21678,265,211,54,Kaduna Suppliers,155,4627,"Kano, Sabon Gari",Rainy Season
6/18/2009,145,187,27153,190,107,83,Jigawa Farm,148,7270,Ibadan,Rainy Season
6/19/2009,145,182,26422,177,106,71,Kaduna Suppliers,164,6895,"Kano, Sabon Gari",Rainy Season
6/20/2009,84,223,18756,119,78,41,Ogun Growers,188,3227,"Lagos, Yaba",Rainy Season
6/21/2009,138,193,26680,155,19,136,Kaduna Suppliers,165,9418,"Abuja, Wuse",Rainy Season
6/22/2009,89,196,17481,164,77,87,Ogun Growers,151,4634,"Kano, Sabon Gari",Rainy Season
6/23/2009,75,224,16776,244,173,71,Jigawa Farm,162,9985,Ibadan,Rainy Season
6/24/2009,176,208,36620,296,155,141,Ogun Growers,160,5305,Ibadan,Rainy Season
6/25/2009,95,186,17647,175,149,26,Kaduna Suppliers,147,5505,Ibadan,Rainy Season
6/26/2009,145,209,30262,193,107,86,Kaduna Suppliers,179,3916,Port Harcourt,Rainy Season
6/27/2009,144,216,31144,213,133,80,Kaduna Suppliers,157,3582,"Lagos, Yaba",Rainy Season
6/28/2009,154,206,31737,139,58,81,Jigawa Farm,184,5981,"Kano, Sabon Gari",Rainy Season
6/29/2009,107,212,22733,186,174,12,Jigawa Farm,159,3036,"Kano, Sabon Gari",Rainy Season
6/30/2009,98,189,18522,178,94,84,Local Farmer,163,6480,Port Harcourt,Rainy Season
7/1/2009,93,185,17213,280,255,25,Jigawa Farm,132,8561,"Abuja, Wuse",Rainy Season
7/2/2009,185,184,34035,257,167,90,Local Farmer,144,4535,"Abuja, Wuse",Rainy Season
7/3/2009,183,189,34625,145,3,142,Ogun Growers,168,3699,"Abuja, Wuse",Rainy Season
7/4/2009,60,213,12789,239,246,0,Ogun Growers,184,7595,"Lagos, Yaba",Rainy Season
7/5/2009,94,219,20545,203,137,66,Ogun Growers,191,4255,Ibadan,Rainy Season
7/6/2009,73,190,13881,142,87,55,Kaduna Suppliers,143,6751,"Kano, Sabon Gari",Rainy Season
7/7/2009,120,198,23765,195,127,68,Jigawa Farm,150,8423,"Kano, Sabon Gari",Rainy Season
7/8/2009,148,213,31590,143,94,49,Kaduna Suppliers,177,8060,"Kano, Sabon Gari",Rainy Season
7/9/2009,187,198,36997,285,193,92,Local Farmer,144,8636,"Kano, Sabon Gari",Rainy Season
7/10/2009,149,191,28526,212,95,117,Jigawa Farm,169,7517,Port Harcourt,Rainy Season
7/11/2009,108,221,23920,226,131,95,Kaduna Suppliers,158,9497,"Lagos, Yaba",Rainy Season
7/12/2009,171,185,31577,178,42,136,Ogun Growers,155,6657,Port Harcourt,Rainy Season
7/13/2009,192,181,34833,118,-19,137,Jigawa Farm,139,9309,Ibadan,Rainy Season
7/14/2009,96,206,19777,231,227,4,Local Farmer,172,3132,Ibadan,Rainy Season
7/15/2009,102,185,18828,159,80,79,Jigawa Farm,142,8733,"Kano, Sabon Gari",Rainy Season
7/16/2009,101,215,21696,227,139,88,Kaduna Suppliers,185,5128,"Abuja, Wuse",Rainy Season
7/17/2009,64,196,12517,259,200,59,Local Farmer,149,6001,Ibadan,Rainy Season
7/18/2009,100,181,18062,285,190,95,Kaduna Suppliers,138,8132,Ibadan,Rainy Season
7/19/2009,145,219,31761,261,146,115,Jigawa Farm,189,6168,"Kano, Sabon Gari",Rainy Season
7/20/2009,87,214,18603,279,207,72,Ogun Growers,185,8133,"Kano, Sabon Gari",Rainy Season
7/21/2009,165,181,29785,221,141,80,Local Farmer,162,3783,Ibadan,Rainy Season
7/22/2009,95,212,20103,246,239,7,Jigawa Farm,188,5050,"Kano, Sabon Gari",Rainy Season
7/23/2009,141,205,28876,100,32,68,Kaduna Suppliers,179,3996,Ibadan,Rainy Season
7/24/2009,195,207,40276,236,43,193,Jigawa Farm,180,7415,Ibadan,Rainy Season
7/25/2009,190,207,39344,296,138,158,Ogun Growers,161,3959,"Abuja, Wuse",Rainy Season
7/26/2009,119,202,24047,203,114,89,Jigawa Farm,161,3839,"Abuja, Wuse",Rainy Season
7/27/2009,64,212,13585,178,141,37,Ogun Growers,158,8386,"Kano, Sabon Gari",Rainy Season
7/28/2009,78,183,14304,205,156,49,Local Farmer,147,8001,"Abuja, Wuse",Rainy Season
7/29/2009,63,194,12223,143,150,0,Jigawa Farm,157,7069,"Abuja, Wuse",Rainy Season
7/30/2009,108,184,19823,141,39,102,Kaduna Suppliers,164,4675,"Abuja, Wuse",Rainy Season
7/31/2009,77,220,16943,196,200,0,Kaduna Suppliers,175,6554,"Kano, Sabon Gari",Rainy Season
8/1/2009,64,202,12925,110,48,62,Local Farmer,155,6207,"Kano, Sabon Gari",Rainy Season
8/2/2009,93,209,19439,192,146,46,Kaduna Suppliers,157,6120,"Abuja, Wuse",Rainy Season
8/3/2009,109,183,19934,161,83,78,Jigawa Farm,141,7645,Port Harcourt,Rainy Season
8/4/2009,150,181,27204,142,62,80,Jigawa Farm,148,8674,Ibadan,Rainy Season
8/5/2009,51,182,9298,108,147,0,Ogun Growers,136,7483,"Abuja, Wuse",Rainy Season
8/6/2009,72,193,13870,210,236,0,Jigawa Farm,144,8186,"Abuja, Wuse",Rainy Season
8/7/2009,100,193,19315,194,150,44,Ogun Growers,154,5453,Port Harcourt,Rainy Season
8/8/2009,73,180,13171,220,148,72,Ogun Growers,143,9916,"Lagos, Yaba",Rainy Season
8/9/2009,146,209,30463,207,136,71,Jigawa Farm,186,3568,Port Harcourt,Rainy Season
8/10/2009,116,221,25688,221,122,99,Local Farmer,158,7971,"Lagos, Yaba",Rainy Season
8/11/2009,113,221,25015,103,37,66,Jigawa Farm,159,9944,Ibadan,Rainy Season
8/12/2009,109,183,19979,279,241,38,Ogun Growers,164,8239,"Kano, Sabon Gari",Rainy Season
8/13/2009,129,193,24956,194,135,59,Ogun Growers,170,8711,"Abuja, Wuse",Rainy Season
8/14/2009,169,199,33599,161,30,131,Ogun Growers,173,9649,"Kano, Sabon Gari",Rainy Season
8/15/2009,108,197,21268,245,183,62,Ogun Growers,154,3870,"Lagos, Yaba",Rainy Season
8/16/2009,190,221,41998,228,59,169,Jigawa Farm,194,3616,Port Harcourt,Rainy Season
8/17/2009,199,210,41722,294,101,193,Ogun Growers,182,9547,Ibadan,Rainy Season
8/18/2009,143,206,29498,248,114,134,Kaduna Suppliers,149,8402,"Kano, Sabon Gari",Rainy Season
8/19/2009,64,212,13546,130,103,27,Kaduna Suppliers,190,6490,Ibadan,Rainy Season
8/20/2009,123,201,24722,176,117,59,Ogun Growers,146,8733,Port Harcourt,Rainy Season
8/21/2009,89,199,17694,147,96,51,Kaduna Suppliers,143,7561,Ibadan,Rainy Season
8/22/2009,180,196,35215,106,-18,124,Kaduna Suppliers,163,3063,"Kano, Sabon Gari",Rainy Season
8/23/2009,91,207,18826,234,222,12,Kaduna Suppliers,169,9271,"Abuja, Wuse",Rainy Season
8/24/2009,180,197,35378,218,134,84,Ogun Growers,175,4067,"Abuja, Wuse",Rainy Season
8/25/2009,196,212,41525,272,91,181,Jigawa Farm,155,9914,"Kano, Sabon Gari",Rainy Season
8/26/2009,112,192,21473,293,240,53,Jigawa Farm,167,5156,"Lagos, Yaba",Rainy Season
8/27/2009,186,193,35990,278,164,114,Kaduna Suppliers,154,9923,Port Harcourt,Rainy Season
8/28/2009,68,181,12279,223,177,46,Jigawa Farm,156,4871,Ibadan,Rainy Season
8/29/2009,99,186,18461,203,153,50,Ogun Growers,159,8497,Ibadan,Rainy Season
8/30/2009,140,184,25741,200,155,45,Local Farmer,131,6734,"Lagos, Yaba",Rainy Season
8/31/2009,160,223,35710,240,106,134,Kaduna Suppliers,197,8513,Port Harcourt,Rainy Season
9/1/2009,158,196,30902,191,117,74,Kaduna Suppliers,144,8016,"Lagos, Yaba",Rainy Season
9/2/2009,103,200,20579,124,90,34,Ogun Growers,162,9331,"Abuja, Wuse",Rainy Season
9/3/2009,51,188,9585,260,220,40,Local Farmer,144,3750,"Kano, Sabon Gari",Rainy Season
9/4/2009,153,193,29598,285,144,141,Jigawa Farm,148,5656,Ibadan,Rainy Season
9/5/2009,137,200,27337,256,190,66,Local Farmer,152,9239,Ibadan,Rainy Season
9/6/2009,58,193,11174,250,206,44,Jigawa Farm,144,6377,Port Harcourt,Rainy Season
9/7/2009,68,224,15263,208,228,0,Local Farmer,179,7627,"Lagos, Yaba",Rainy Season
9/8/2009,141,203,28582,179,107,72,Kaduna Suppliers,158,5335,"Kano, Sabon Gari",Rainy Season
9/9/2009,157,187,29366,109,-18,127,Jigawa Farm,159,7975,"Lagos, Yaba",Rainy Season
9/10/2009,108,201,21667,261,179,82,Local Farmer,179,4799,Ibadan,Rainy Season
9/11/2009,117,220,25716,227,179,48,Kaduna Suppliers,156,6307,Port Harcourt,Rainy Season
9/12/2009,147,211,30990,255,186,69,Jigawa Farm,189,8197,Ibadan,Rainy Season
9/13/2009,199,198,39500,201,44,157,Jigawa Farm,154,4906,Port Harcourt,Rainy Season
9/14/2009,64,185,11815,170,185,0,Ogun Growers,158,8419,Port Harcourt,Rainy Season
9/15/2009,102,203,20657,290,210,80,Kaduna Suppliers,159,5255,"Kano, Sabon Gari",Rainy Season
9/16/2009,125,200,24999,131,105,26,Ogun Growers,157,9713,"Kano, Sabon Gari",Rainy Season
9/17/2009,151,207,31277,236,146,90,Local Farmer,173,8768,Port Harcourt,Rainy Season
9/18/2009,56,217,12174,113,88,25,Kaduna Suppliers,165,8358,Port Harcourt,Rainy Season
9/19/2009,127,199,25330,156,99,57,Kaduna Suppliers,143,6477,Ibadan,Rainy Season
9/20/2009,85,199,16943,118,65,53,Ogun Growers,148,3858,"Kano, Sabon Gari",Rainy Season
9/21/2009,172,192,32992,231,105,126,Ogun Growers,159,9539,Port Harcourt,Rainy Season
9/22/2009,170,214,36326,178,68,110,Kaduna Suppliers,174,9385,"Abuja, Wuse",Rainy Season
9/23/2009,163,203,33052,143,-17,160,Kaduna Suppliers,142,8816,"Lagos, Yaba",Rainy Season
9/24/2009,88,202,17753,233,215,18,Kaduna Suppliers,150,9795,"Kano, Sabon Gari",Rainy Season
9/25/2009,190,214,40570,177,-1,178,Jigawa Farm,171,4588,Port Harcourt,Rainy Season
9/26/2009,153,199,30446,119,51,68,Ogun Growers,140,4490,"Abuja, Wuse",Rainy Season
9/27/2009,176,223,39265,283,185,98,Ogun Growers,176,6226,"Abuja, Wuse",Rainy Season
9/28/2009,198,211,41816,120,5,115,Local Farmer,156,3781,"Lagos, Yaba",Rainy Season
9/29/2009,187,205,38336,241,125,116,Ogun Growers,159,7010,"Abuja, Wuse",Rainy Season
